load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,33.09
Menorca,fueloil,2021,10.07
Menorca,cable,2021,17.03
Menorca,gas,2021,10.46
Menorca,diesel,2022,33.09
Menorca,fueloil,2022,10.07
Menorca,cable,2022,17.03
Menorca,gas,2022,10.67
Menorca,diesel,2023,33.09
Menorca,fueloil,2023,10.07
Menorca,cable,2023,17.03
Menorca,gas,2023,10.89
Menorca,diesel,2024,33.09
Menorca,fueloil,2024,10.07
Menorca,cable,2024,17.03
Menorca,gas,2024,11.10
Menorca,diesel,2025,33.09
Menorca,fueloil,2025,10.07
Menorca,cable,2025,17.03
Menorca,gas,2025,11.33
Menorca,diesel,2026,33.09
Menorca,fueloil,2026,10.07
Menorca,cable,2026,17.03
Menorca,gas,2026,11.55
Menorca,diesel,2027,33.09
Menorca,fueloil,2027,10.07
Menorca,cable,2027,17.03
Menorca,gas,2027,11.78
Menorca,diesel,2028,33.09
Menorca,fueloil,2028,10.07
Menorca,cable,2028,17.03
Menorca,gas,2028,12.02
Menorca,diesel,2029,33.09
Menorca,fueloil,2029,10.07
Menorca,cable,2029,17.03
Menorca,gas,2029,12.26
Menorca,diesel,2030,33.09
Menorca,fueloil,2030,10.07
Menorca,cable,2030,17.03
Menorca,gas,2030,12.51
